fragment.id;iri;from;to;fragment.text_clean;source;iri_z;iri_c;scope;example
55733068;cast_1/hlava_3/par_24/pism_a/bod_2;111/2009 Sb.;256/2004 Sb.;2. orgán veřejné moci, který uděluje oprávnění k činnosti podle jiného právního předpisu,;norms;2009/111;2004/256;full;FALSE
55733068;cast_1/hlava_3/par_24/pism_a/bod_2;111/2009 Sb.;257/2016 Sb.;2. orgán veřejné moci, který uděluje oprávnění k činnosti podle jiného právního předpisu,;norms;2009/111;2016/257;full;FALSE
55733068;cast_1/hlava_3/par_24/pism_a/bod_2;111/2009 Sb.;370/2017 Sb.;2. orgán veřejné moci, který uděluje oprávnění k činnosti podle jiného právního předpisu,;norms;2009/111;2017/370;full;FALSE
55733068;cast_1/hlava_3/par_24/pism_a/bod_2;111/2009 Sb.;427/2011 Sb.;2. orgán veřejné moci, který uděluje oprávnění k činnosti podle jiného právního předpisu,;norms;2009/111;2011/427;full;FALSE
55733068;cast_1/hlava_3/par_24/pism_a/bod_2;111/2009 Sb.;458/2000 Sb.;2. orgán veřejné moci, který uděluje oprávnění k činnosti podle jiného právního předpisu,;norms;2009/111;2000/458;full;FALSE
55733370;cast_1/hlava_5/par_51/odst_3/pism_h;111/2009 Sb.;3/2002 Sb.;h) datum vzniku nebo datum zápisu do evidence podle jiného právního předpisu, je-li se zápisem do evidence spojen vznik soukromoprávního uživatele údajů,;norms;2009/111;2002/3;part;FALSE
55733370;cast_1/hlava_5/par_51/odst_3/pism_h;111/2009 Sb.;304/2013 Sb.;h) datum vzniku nebo datum zápisu do evidence podle jiného právního předpisu, je-li se zápisem do evidence spojen vznik soukromoprávního uživatele údajů,;norms;2009/111;2013/304;full;FALSE
55733370;cast_1/hlava_5/par_51/odst_3/pism_h;111/2009 Sb.;424/1991 Sb.;h) datum vzniku nebo datum zápisu do evidence podle jiného právního předpisu, je-li se zápisem do evidence spojen vznik soukromoprávního uživatele údajů,;norms;2009/111;1991/424;part;FALSE
55733370;cast_1/hlava_5/par_51/odst_3/pism_h;111/2009 Sb.;561/2004 Sb.;h) datum vzniku nebo datum zápisu do evidence podle jiného právního předpisu, je-li se zápisem do evidence spojen vznik soukromoprávního uživatele údajů,;norms;2009/111;2004/561;part;FALSE
55733110;cast_1/hlava_3/par_26/odst_2/pism_v;111/2009 Sb.;170/2018 Sb.;"v) přerušení nebo pozastavení činnosti podle jiného právního předpisu; v případě činností, jimž odpovídá jedna agenda, přerušení všech takových činností,";norms;2009/111;2018/170;full;FALSE
55733110;cast_1/hlava_3/par_26/odst_2/pism_v;111/2009 Sb.;256/2004 Sb.;"v) přerušení nebo pozastavení činnosti podle jiného právního předpisu; v případě činností, jimž odpovídá jedna agenda, přerušení všech takových činností,";norms;2009/111;2004/256;full;FALSE
55733110;cast_1/hlava_3/par_26/odst_2/pism_v;111/2009 Sb.;257/2016 Sb.;"v) přerušení nebo pozastavení činnosti podle jiného právního předpisu; v případě činností, jimž odpovídá jedna agenda, přerušení všech takových činností,";norms;2009/111;2016/257;full;FALSE
55733110;cast_1/hlava_3/par_26/odst_2/pism_v;111/2009 Sb.;370/2017 Sb.;"v) přerušení nebo pozastavení činnosti podle jiného právního předpisu; v případě činností, jimž odpovídá jedna agenda, přerušení všech takových činností,";norms;2009/111;2017/370;full;FALSE
55733110;cast_1/hlava_3/par_26/odst_2/pism_v;111/2009 Sb.;427/2011 Sb.;"v) přerušení nebo pozastavení činnosti podle jiného právního předpisu; v případě činností, jimž odpovídá jedna agenda, přerušení všech takových činností,";norms;2009/111;2011/427;full;FALSE
55733110;cast_1/hlava_3/par_26/odst_2/pism_v;111/2009 Sb.;458/2000 Sb.;"v) přerušení nebo pozastavení činnosti podle jiného právního předpisu; v případě činností, jimž odpovídá jedna agenda, přerušení všech takových činností,";norms;2009/111;2000/458;full;FALSE
55733372;cast_1/hlava_5/par_51/odst_3/pism_j;111/2009 Sb.;3/2002 Sb.;j) datum zániku nebo datum výmazu z evidence podle jiného právního předpisu, je-li s výmazem z evidence spojen zánik soukromoprávního uživatele údajů,;norms;2009/111;2002/3;part;FALSE
55733372;cast_1/hlava_5/par_51/odst_3/pism_j;111/2009 Sb.;304/2013 Sb.;j) datum zániku nebo datum výmazu z evidence podle jiného právního předpisu, je-li s výmazem z evidence spojen zánik soukromoprávního uživatele údajů,;norms;2009/111;2013/304;full;FALSE
55733372;cast_1/hlava_5/par_51/odst_3/pism_j;111/2009 Sb.;424/1991 Sb.;j) datum zániku nebo datum výmazu z evidence podle jiného právního předpisu, je-li s výmazem z evidence spojen zánik soukromoprávního uživatele údajů,;norms;2009/111;1991/424;part;FALSE
55733372;cast_1/hlava_5/par_51/odst_3/pism_j;111/2009 Sb.;561/2004 Sb.;j) datum zániku nebo datum výmazu z evidence podle jiného právního předpisu, je-li s výmazem z evidence spojen zánik soukromoprávního uživatele údajů,;norms;2009/111;2004/561;part;FALSE
56521879;cast_3/hlava_1/hlava_2/dil_2/par_16/odst_2/pism_e;114/1992 Sb.;289/1995 Sb.;e) sbírat nerosty, rostliny nebo odchytávat živočichy, s výjimkou běžného obhospodařování pozemků, výzkumu povoleného nebo organizovaného orgánem ochrany přírody, výkonu práva myslivosti, práva rybářství nebo práva obecného užívání lesů podle jiného právního předpisu,;norms;1992/114;1995/289;full;FALSE
56521879;cast_3/hlava_1/hlava_2/dil_2/par_16/odst_2/pism_e;114/1992 Sb.;449/2001 Sb.;e) sbírat nerosty, rostliny nebo odchytávat živočichy, s výjimkou běžného obhospodařování pozemků, výzkumu povoleného nebo organizovaného orgánem ochrany přírody, výkonu práva myslivosti, práva rybářství nebo práva obecného užívání lesů podle jiného právního předpisu,;norms;1992/114;2001/449;full;FALSE
56521879;cast_3/hlava_1/hlava_2/dil_2/par_16/odst_2/pism_e;114/1992 Sb.;99/2004 Sb.;e) sbírat nerosty, rostliny nebo odchytávat živočichy, s výjimkou běžného obhospodařování pozemků, výzkumu povoleného nebo organizovaného orgánem ochrany přírody, výkonu práva myslivosti, práva rybářství nebo práva obecného užívání lesů podle jiného právního předpisu,;norms;1992/114;2004/99;full;FALSE
56521986;cast_3/hlava_1/hlava_2/dil_2/par_22a/odst_3;114/1992 Sb.;289/1995 Sb.;(3) Lesy zařazené do zóny přírodní se nezahrnují do výpočtu závazných ustanovení lesních hospodářských plánů podle jiného právního předpisu, rovněž se v nich neumisťují těžby a nenavrhují výchovná a pěstební opatření v lesních hospodářských plánech. V lesích zařazených do zóny přírodě blízké se závazné ustanovení lesního hospodářského plánu maximální celková výše těžeb stanoví jako součet těžeb umístěných v jednotlivých lesních porostech.;norms;1992/114;1995/289;full;FALSE
56101033;cast_4/hlava_2/dil_2/par_64/odst_4;117/1995 Sb.;349/1999 Sb.;(4) Orgány státní sociální podpory jsou povinny poskytnout Veřejnému ochránci práv informace, které si vyžádá v souvislosti s šetřením podle zvláštního zákona.;norms;1995/117;1999/349;part;FALSE
56100956;cast_4/hlava_1/dil_1/par_54a/odst_1;117/1995 Sb.;561/2004 Sb.;(1) Jestliže byl alespoň jednomu z rodičů pravomocně uložen správní trest podle zvláštního právního předpisu za neplnění povinností souvisejících s řádným plněním povinné školní docházky staršího dítěte v rodině, tak se z celkové částky rodičovského příspěvku, který náleží rodiči z titulu péče o nejmladší dítě v rodině, odečítá částka 22 800 Kč. Jestliže počínaje kalendářním měsícem následujícím po kalendářním měsíci, ve kterém nabylo právní moci rozhodnutí o uložení správního trestu uvedené ve větě první, již je nárok na částku rodičovského příspěvku nižší než 22 800 Kč, odečte se tato zbývající částka od celkové částky rodičovského příspěvku. Rozdíl mezi částkou 22 800 Kč a zbývající částkou rodičovského příspěvku podle věty druhé je přeplatkem na rodičovském příspěvku, který je rodič povinen vrátit.;norms;1995/117;2004/561;para;FALSE
56100957;cast_4/hlava_1/dil_1/par_54a/odst_2;117/1995 Sb.;561/2004 Sb.;(2) Rodič pobírající rodičovský příspěvek v případech, kdy jemu nebo druhému z rodičů byl pravomocným rozhodnutím uložen správní trest podle zvláštního právního předpisu, je povinen písemně oznámit orgánu státní sociální podpory, který mu vyplácí rodičovský příspěvek, že jemu nebo druhému z rodičů byl pravomocným rozhodnutím uložen správní trest za neplnění povinností souvisejících s plněním povinné školní docházky dítěte v rodině, a to do 8 dnů po nabytí právní moci tohoto rozhodnutí.;norms;1995/117;2004/561;para;FALSE
56100958;cast_4/hlava_1/dil_1/par_54a/odst_3;117/1995 Sb.;561/2004 Sb.;(3) Orgán, který pravomocně rozhodl o uložení správního trestu rodiči za neplnění povinností souvisejících s plněním povinné školní docházky dítěte podle zvláštního právního předpisu, je povinen písemně oznámit orgánu státní sociální podpory, který rodiči vyplácí rodičovský příspěvek, že tento správní trest uložil, a to do 8 dnů po nabytí právní moci tohoto rozhodnutí.;norms;1995/117;2004/561;para;FALSE
12243398;priloha_1/cast_2/bod_3;119/2002 Sb.;156/2000 Sb.;3. Střelivo zkušební - střelivo, určené pro úřední přezkušování zbraní podle zvláštního právního předpisu.;annex;2002/119;2000/156;full;FALSE
12242580;cast_1/hlava_3/dil_2/par_70h/odst_1/pism_g;119/2002 Sb.;273/2008 Sb.;g) podrobit se na výzvu příslušníka policie vyšetření podle zvláštního právního předpisu ke zjištění, zda není při provádění činnosti při nakládání s municí nebo při provádění pyrotechnického průzkumu ovlivněn alkoholem nebo jinou návykovou látkou,;norms;2002/119;2008/273;part;FALSE
12241890;cast_1/hlava_2/dil_3/par_28/odst_2/pism_a;119/2002 Sb.;14/2021 Sb.;"a) nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; tuto zbraň, případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, a";norms;2002/119;2021/14;full;FALSE
12241890;cast_1/hlava_2/dil_3/par_28/odst_2/pism_a;119/2002 Sb.;154/1994 Sb.;"a) nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; tuto zbraň, případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, a";norms;2002/119;1994/154;full;FALSE
12241890;cast_1/hlava_2/dil_3/par_28/odst_2/pism_a;119/2002 Sb.;219/1999 Sb.;"a) nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; tuto zbraň, případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, a";norms;2002/119;1999/219;full;FALSE
12241890;cast_1/hlava_2/dil_3/par_28/odst_2/pism_a;119/2002 Sb.;273/2008 Sb.;"a) nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; tuto zbraň, případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, a";norms;2002/119;2008/273;full;FALSE
12241890;cast_1/hlava_2/dil_3/par_28/odst_2/pism_a;119/2002 Sb.;289/2005 Sb.;"a) nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; tuto zbraň, případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, a";norms;2002/119;2005/289;full;FALSE
12241890;cast_1/hlava_2/dil_3/par_28/odst_2/pism_a;119/2002 Sb.;300/2013 Sb.;"a) nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; tuto zbraň, případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, a";norms;2002/119;2013/300;full;FALSE
12241890;cast_1/hlava_2/dil_3/par_28/odst_2/pism_a;119/2002 Sb.;310/1999 Sb.;"a) nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; tuto zbraň, případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, a";norms;2002/119;1999/310;full;FALSE
12241890;cast_1/hlava_2/dil_3/par_28/odst_2/pism_a;119/2002 Sb.;341/2011 Sb.;"a) nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; tuto zbraň, případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, a";norms;2002/119;2011/341;full;FALSE
12241890;cast_1/hlava_2/dil_3/par_28/odst_2/pism_a;119/2002 Sb.;553/1991 Sb.;"a) nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; tuto zbraň, případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, a";norms;2002/119;1991/553;full;FALSE
12241890;cast_1/hlava_2/dil_3/par_28/odst_2/pism_a;119/2002 Sb.;555/1992 Sb.;"a) nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; tuto zbraň, případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, a";norms;2002/119;1992/555;full;FALSE
12241893;cast_1/hlava_2/dil_3/par_28/odst_3/pism_a;119/2002 Sb.;14/2021 Sb.;"a) nosit nebo držet zbraň kategorie A, A-I, B nebo C, na kterou má jeho zaměstnavatel vydán průkaz zbraně k účelům, pro které byla vydána zbrojní licence, přičemž zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu; k této zbrani je oprávněn držet nebo nosit i střelivo, a";norms;2002/119;2021/14;full;FALSE
12241893;cast_1/hlava_2/dil_3/par_28/odst_3/pism_a;119/2002 Sb.;154/1994 Sb.;"a) nosit nebo držet zbraň kategorie A, A-I, B nebo C, na kterou má jeho zaměstnavatel vydán průkaz zbraně k účelům, pro které byla vydána zbrojní licence, přičemž zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu; k této zbrani je oprávněn držet nebo nosit i střelivo, a";norms;2002/119;1994/154;full;FALSE
12241893;cast_1/hlava_2/dil_3/par_28/odst_3/pism_a;119/2002 Sb.;219/1999 Sb.;"a) nosit nebo držet zbraň kategorie A, A-I, B nebo C, na kterou má jeho zaměstnavatel vydán průkaz zbraně k účelům, pro které byla vydána zbrojní licence, přičemž zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu; k této zbrani je oprávněn držet nebo nosit i střelivo, a";norms;2002/119;1999/219;full;FALSE
12241893;cast_1/hlava_2/dil_3/par_28/odst_3/pism_a;119/2002 Sb.;273/2008 Sb.;"a) nosit nebo držet zbraň kategorie A, A-I, B nebo C, na kterou má jeho zaměstnavatel vydán průkaz zbraně k účelům, pro které byla vydána zbrojní licence, přičemž zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu; k této zbrani je oprávněn držet nebo nosit i střelivo, a";norms;2002/119;2008/273;full;FALSE
12241893;cast_1/hlava_2/dil_3/par_28/odst_3/pism_a;119/2002 Sb.;289/2005 Sb.;"a) nosit nebo držet zbraň kategorie A, A-I, B nebo C, na kterou má jeho zaměstnavatel vydán průkaz zbraně k účelům, pro které byla vydána zbrojní licence, přičemž zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu; k této zbrani je oprávněn držet nebo nosit i střelivo, a";norms;2002/119;2005/289;full;FALSE
12241893;cast_1/hlava_2/dil_3/par_28/odst_3/pism_a;119/2002 Sb.;300/2013 Sb.;"a) nosit nebo držet zbraň kategorie A, A-I, B nebo C, na kterou má jeho zaměstnavatel vydán průkaz zbraně k účelům, pro které byla vydána zbrojní licence, přičemž zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu; k této zbrani je oprávněn držet nebo nosit i střelivo, a";norms;2002/119;2013/300;full;FALSE
12241893;cast_1/hlava_2/dil_3/par_28/odst_3/pism_a;119/2002 Sb.;310/1999 Sb.;"a) nosit nebo držet zbraň kategorie A, A-I, B nebo C, na kterou má jeho zaměstnavatel vydán průkaz zbraně k účelům, pro které byla vydána zbrojní licence, přičemž zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu; k této zbrani je oprávněn držet nebo nosit i střelivo, a";norms;2002/119;1999/310;full;FALSE
