fragment.id;from;to;to_upd;fragment.text_clean;source;akt.název.vyhlášený
72702;102/1945 Sb.;16/1945 Sb.;NA;c) osobám fysickým, které vyvíjely činnost směřující proti státní svrchovanosti, samostatnosti, celistvosti, demokraticko-republikánské státní formě, bezpečnosti a obraně Československé republiky, které k takové činnosti podněcovaly nebo jiné osoby svésti hleděly, záměrně podporovaly jakýmkoliv způsobem německé nebo maďarské okupanty v době zvýšeného ohrožení republiky (§ 18 dekretu presidenta republiky ze dne 19. června 1945, č. 16 Sb., o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech), nebo které nadržovaly germanisaci nebo maďarisaci na území Československé republiky nebo se chovaly nepřátelsky k Československé republice nebo k českému nebo slovenskému národu, jakož i osobám, které strpěly takovou činnost u osob spravujících jejich majetek nebo podnik.;norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
73663;103/1945 Sb.;16/1945 Sb.;NA;c) osobám fysickým, které vyvíjely činnost směřující proti státní svrchovanosti, samostatnosti, celistvosti, demokraticko- republikánské státní formě, bezpečnosti a obraně Československé republiky, které k takové činnosti podněcovaly nebo jiné osoby svésti hleděly, záměrně podporovaly jakýmkoliv způsobem německé nebo maďarské okupanty v době zvýšeného ohrožení republiky (§ 18 dekretu presidenta republiky ze dne 19. června 1945, č. 16 Sb., o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech) nebo které nadržovaly germanisaci nebo maďarisaci na území Československé republiky nebo se chovaly nepřátelsky k Československé republice nebo k českému nebo slovenskému národu, jakož i osobám, které strpěly takovou činnost u osob spravujících jejich majetek nebo podnik.;norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
75160;108/1945 Sb.;16/1945 Sb.;NA;3. osob fysických a právnických, které vyvíjely činnost proti státní svrchovanosti, samostatnosti, celistvosti, demokraticko-republikánské státní formě, bezpečnosti a obraně Československé republiky, které k takové činnosti podněcovaly nebo jiné osoby svésti hleděly, záměrně podporovaly jakýmkoliv způsobem německé nebo maďarské okupanty nebo které v době zvýšeného ohrožení republiky (§ 18 dekretu presidenta republiky ze dne 19. června 1945, č. 16 Sb., o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech) nadržovaly germanisaci nebo maďarisaci na území Československé republiky nebo se chovaly nepřátelsky k Československé republice nebo k českému nebo slovenskému národu, jakož i fysických nebo právnických osob, které strpěly takovou činnost u osob spravujících jejich majetek nebo podnik.;norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
76913;33/1945 Sb.;16/1945 Sb.;NA;(3) Tento dekret se nevztahuje na Němce a Maďary, kteří se v době zvýšeného ohrožení republiky (§ 18 dekretu presidenta republiky ze dne 19. června 1945, č. 16 Sb., o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech) přihlásili v úředním hlášení za Čechy nebo Slováky.;norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
76925;33/1945 Sb.;16/1945 Sb.;NA;Češi, Slováci a příslušníci jiných slovanských národů, kteří se v době zvýšeného ohrožení republiky (§ 18 dekretu presidenta republiky č. 16/1945 Sb.) ucházeli o udělení německé nebo maďarské státní příslušnosti, aniž k tomu byli donuceni nátlakem anebo zvláštními okolnostmi, pozbývají československého státního občanství dnem, kdy tento dekret nabývá účinnosti.;norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
80540;138/1945 Sb.;16/1945 Sb.;NA;(1) Kdo v době zvýšeného ohrožení republiky (§ 18 dekretu presidenta republiky ze dne 19. června 1945, č. 16 Sb., o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech) nepřístojným chováním, urážejícím národní cítění českého nebo slovenského lidu, vzbudil veřejné pohoršení, bude potrestán - nejde-li o čin soudně trestný - okresním národním výborem vězením do jednoho roku nebo pokutou do 1,000.000 Kčs nebo veřejným pokáráním nebo dvěma nebo všemi těmito tresty.;norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
80544;138/1945 Sb.;137/1945 Sb.;NA;Do trestu na svobodě se započítá doba, po kterou byl pachatel zajištěn (ústavní dekret presidenta republiky ze dne 27. října 1945, č. 137 Sb., o zajištění osob, které byly považovány za státně nespolehlivé, v době revoluční).;norms;Ústavní dekret presidenta republiky o zajištění osob, které byly považovány za státně nespolehlivé, v době revoluční
80546;138/1945 Sb.;16/1945 Sb.;NA;"Činy trestné podle § 1 se promlčují v šesti měsících. Promlčecí lhůta počíná se dnem, kdy čin byl spáchán; u činů spáchaných před účinností tohoto dekretu pak dnem počátku jeho účinnosti. U činů, o nichž okresní národní výbor nabude vědomosti ze spisů, jež jsou v den 26. května 1946 u soudu (mimořádného lidového soudu), veřejného žalobce, správního úřadu (orgánu) a budou mu odstoupeny teprve po tomto dnu, počíná se promlčecí lhůta dnem, kdy tyto spisy dojdou příslušnému okresnímu národnímu výboru. Trestní řízení musí však býti zahájeno před skončením účinnosti dekretu presidenta republiky ze dne 19. června 1945, č. 16 Sb., o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech, ve znění zákonů jej doplňujících a pozměňujících.";norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
101872;128/1946 Sb.;16/1945 Sb.;NA;3. osoby fysické, které vyvíjely činnost směřující proti státní svrchovanosti, samostatnosti, celistvosti, demokraticko-republikánské státní formě, bezpečnosti a obraně Československé republiky, které k takové činnosti podněcovaly nebo jiné osoby svésti hleděly, záměrně podporovaly jakýmkoli způsobem německé nebo maďarské okupanty, nebo které v době zvýšeného ohrožení republiky (§ 18 dekretu presidenta republiky ze dne 19. června 1945, č. 16 Sb., o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech) nadržovaly germanisaci nebo maďarisaci na území Československé republiky nebo se chovaly nepřátelsky k Československé republice nebo k českému nebo slovenskému národu, jakož i osoby, které strpěly takovou činnost u osob spravujících jejich majetek nebo podnik.;norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
107762;255/1946 Sb.;47/1946 Sb.;NA;(6) U zaměstnanců v individuálním smluvním poměru se postupuje obdobně podle odstavců 1 a 2, jde-li o stanovení platového zařazení, nároku na plat (mzdu) v době nemoci, výměry dovolené a výpovědní lhůty. Doba stanovená v odstavci 1, písm. b) a v odstavci 2 se započte veřejným zaměstnancům v soukromoprávním služebním poměru podléhajícím veřejnoprávnímu sociálnímu pojištění podle zásad zákona ze dne 5. května 1946, č. 47 Sb., o odstranění křivd a o některých ochranných opatřeních v oboru veřejnoprávního sociálního pojištění, jako doba povinného pojištění.;norms;Zákon o odstranění křivd a o některých ochranných opatřeních v oboru veřejnoprávního sociálního pojištění
107795;255/1946 Sb.;136/1946 Sb.;NA;(4) Kde se jiné předpisy odvolávají na zákon č. 136/1946 Sb., rozumí se tím tento zákon.;norms;Zákon o umisťování a jiném zaopatření účastníků národního boje za osvobození
138857;83/1946 Sb.;71/1945 Sb.;NA;Osoby, jejichž pracovní (učební) poměry zanikly podle ustanovení § 1, jsou povinny pokračovati v práci v dosavadním působišti, je-li toho třeba ve veřejném zájmu, za podmínek stanovených pro osoby přidělené k práci podle dekretu presidenta republiky ze dne 19. září 1945, č. 71 Sb., o pracovní povinnosti osob, které pozbyly československého státního občanství. O tom, zda pokračování v práci jest ve veřejném zájmu, rozhodne okresní úřad ochrany práce, v jehož obvodě jest závod, po slyšení zaměstnavatele, závodního zastupitelstva dotčeného závodu, příslušné zájmové organisace a příslušného orgánu jednotného odborového hnutí.;norms;Dekret presidenta republiky o pracovní povinnosti osob, které pozbyly československého státního občanství
138861;83/1946 Sb.;16/1945 Sb.;NA;(1) Pracovní (učební) poměry osob, uznaných vinnými trestným činem podle dekretu presidenta republiky ze dne 19. června 1945, č. 16 Sb., o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech, zanikají dnem jejich pravoplatného odsouzení, a byly-li již před tím zajištěny nebo vzaty do vyšetřovací vazby, tímto dnem. Toto ustanovení se však nevztahuje na osoby, u nichž soud upustil od potrestání podle § 16, odst. 2 dekretu č. 16/1945 Sb.;norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
178148;31/1947 Sb.;164/1946 Sb.;NA;"2. že jsou české, slovenské nebo jiné slovanské národnosti, soudně bezúhonní, národně i státně spolehliví a že i jejich rodinní příslušníci, žijící s nimi ve společné domácnosti, jsou soudně bezúhonní a státně spolehliví a nejsou národnosti německé nebo maďarské; výjimky, pokud jde o rodinné příslušníky, může povoliti ministerstvo vnitra po dohodě s ministerstvem národní obrany, nejde-li o otázku státní spolehlivosti. Až do rozhodnutí o takové výjimce zůstává dosavadní národní správa beze změny, jestliže k jejímu odvolání nejsou jiné závažné důvody. Ustanovení o národnosti neplatí u osob, jmenovaných v §§ 1 a 6 zákona ze dne 19. prosince 1946, č. 255 Sb., o příslušnících československé armády v zahraničí a o některých jiných účastnících národního boje za osvobození. Pokud jde o osoby uvedené v § 84, odst. 1 zákona ze dne 18. července 1946, č. 164 Sb., o péči o vojenské a válečné poškozence a oběti války a fašistické persekuce, neplatí ustanovení o národnosti, ačli nejde o příslušníky národnosti německé nebo maďarské,";norms;Zákon o péči o vojenské a válečné poškozence a oběti války a fašistické persekuce
178152;31/1947 Sb.;164/1946 Sb.;NA;aa) pro osoby jmenované v §§ 1 a 6 zák. č. 255/1946 Sb. a v § 84, odst. 1 zák. č. 164/1946 Sb.,;norms;Zákon o péči o vojenské a válečné poškozence a oběti války a fašistické persekuce
178164;31/1947 Sb.;164/1946 Sb.;NA;(1) Osoby uvedené v §§ 1 a 6 zák. č. 255/1946 Sb., které nejsou umístěny, nebo osoby uvedené v § 84, odst. 1 zák. č. 164/1946 Sb., které nejsou existenčně zabezpečeny (dále jen přednostní uchazeči), podávají žádosti o příděl drobných živnostenských podniků do vlastnictví na úředním tiskopise u osidlovacího úřadu ve lhůtě stanovené vyhláškou tohoto úřadu, jež bude vydána v dohodě s ministerstvem národní obrany a ministerstvem sociální péče a uveřejněna v Úředním listě. Osidlovací úřad však přidělí drobný živnostenský podnik přednostnímu uchazeči do vlastnictví jen podle ustanovení § 7, odst. 7.;norms;Zákon o péči o vojenské a válečné poškozence a oběti války a fašistické persekuce
178171;31/1947 Sb.;75/1946 Sb.;NA;(5) Není-li neuspokojených žadatelů z řad přednostních uchazečů, mohou býti na místo národních správců odvolaných podle § 13 ustanoveni se souhlasem osidlovacího úřadu národními správci drobných živnostenských podniků žadatelé z řad ostatních uchazečů, vyhovujících i podmínkám § 5, odst. 1, č. 1 a 2, a to především z osob jmenovaných v § 1 zákona ze dne 12. dubna 1946, č. 75 Sb., o přiznávání hospodářských a právních úlev krajanům vracejícím se do vlasti, zejména z Maďarska (dále jen navrátilci), a teprve po těchto z řad jiných uchazečů s přihlédnutím k ustanovení § 7, odst. 3 konfiskačního dekretu.;norms;Zákon o přiznávání hospodářských a právních úlev krajanům vracejícím se do vlasti, zejména z Maďarska
180730;148/1947 Sb.;75/1946 Sb.;NA;(1) O tom, jsou-li podle konfiskačních předpisů splněny podmínky pro konfiskaci (přechod na stát) majetku, na nějž se vztahují ustanovení čl. VII dohody, rozhoduje, – pokud se tak již nestalo –, s konečnou platností osidlovací úřad, a to, jde-li o majetek zemědělský, v dohodě s pověřenectvem zemědělství a pozemkové reformy. Tyto podmínky se považují za splněné, byla-li osoba, které tento majetek náležel, přestěhována do Maďarska (odstavec 3). Tento majetek spravuje Fond národní obnovy, a to odděleně od ostatního majetku jím spravovaného. Naloží s ním podle zásad, které stanoví vládní nařízení, osidlovací úřad, a to, jde-li o zemědělský majetek, v dohodě s ministerstvem zemědělství, pokud jde o Slovensko v dohodě s pověřenectvem zemědělství a pozemkové reformy. Při tom se především přizná Čechům a Slovákům, kteří se podle dohody přistěhují na území Československé republiky z Maďarska, náhrada podle § 1, odst. 3 zákona ze dne 12. dubna 1946, č. 75 Sb., o přiznávání hospodářských a právních úlev krajanům vracejícím se do vlasti, zejména z Maďarska. Ustanovení vět třetí až páté se nevztahují na majetek uvedený v § 18 dekretu presidenta republiky ze dne 25. října 1945, č. 108 Sb., o konfiskaci nepřátelského majetku a Fondech národní obnovy.;norms;Zákon o přiznávání hospodářských a právních úlev krajanům vracejícím se do vlasti, zejména z Maďarska
203283;142/1947 Sb.;164/1946 Sb.;NA;b) že jsou české, slovenské nebo jiné slovanské národnosti, že pravoplatným výrokem trestního soudu pro zločin neztratili volební právo, že jsou národně i státně spolehliví a že i jejich rodinní příslušníci, žijící s nimi ve společné domácnosti jsou státně spolehliví, nejsou národnosti německé nebo maďarské a neztratili pravoplatným výrokem trestního soudu pro zločin volební právo. Ustanovení o národnosti neplatí u osob, jmenovaných v §§ 1 a 6 zákona ze dne 19. prosince 1946, č. 255 Sb., o příslušnících československé armády v zahraničí a o některých jiných účastnících národního boje za osvobození. Pokud jde o osoby uvedené v § 84, odst. 1 zákona ze dne 18. července 1946, č. 164 Sb., o péči o vojenské a válečné poškozence a oběti války a fašistické persekuce, neplatí ustanovení o národnosti, ačli nejde o příslušníky národnosti německé nebo maďarské.;norms;Zákon o péči o vojenské a válečné poškozence a oběti války a fašistické persekuce
203292;142/1947 Sb.;16/1947 Sb.;NA;(1) O zabezpečení zaměstnanců na pozemkovém majetku, který byl zabrán nebo se stane zabraným podle tohoto zákona, bude převzat podle § 6 nebo bude vyvlastněn podle § 1, odst. 3, platí místo ustanovení části V náhradového zákona a předpisů ji doplňujících zákon ze dne 30. ledna 1947, č. 16 Sb., o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků, jehož platnost a účinnost ve věci upravené ustanovením tohoto paragrafu se rozšiřuje i na Slovensko, s těmito odchylkami:;norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
203293;142/1947 Sb.;16/1947 Sb.;NA;"1. Kde se v zákonu č. 16/1947 Sb. mluví o zkonfiskovaném zemědělském majetku, po případě o jeho konfiskaci podle dekretu presidenta republiky ze dne 21. června 1945, č. 12 Sb., o konfiskaci a urychleném rozdělení zemědělského majetku Němců, Maďarů, jakož i zrádců a nepřátel českého a slovenského národa, rozumí se tím v tomto zákonu majetek převzatý nebo vyvlastněný, po případě převzetí nebo vyvlastnění podle tohoto zákona;";norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
203294;142/1947 Sb.;16/1947 Sb.;NA;"2. kde se v zákonu č. 16/1947 Sb. mluví o Národním pozemkovém fondu při ministerstvu zemědělství, rozumí se tím ministerstvo zemědělství;";norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
203295;142/1947 Sb.;16/1947 Sb.;NA;"3. ustanovení § 5, odst. 1 a 2 zák. č. 16/1947 Sb. platí i o zaměstnancích, u nichž jsou dány podmínky uvedené v § 2, odst. 1, písm. a) a b) téhož zákona, s nimiž však byl pracovní (služební) poměr rozvázán bez jejich viny v důsledku provádění revise první pozemkové reformy;";norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
203296;142/1947 Sb.;16/1947 Sb.;NA;"4. v §§ 1 a 2 zák. č. 16/1947 Sb. uvedený den 23. června 1945 se nahrazuje dnem, kterým bude majetek podle tohoto zákona převzat nebo vyvlastněn;";norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
203297;142/1947 Sb.;16/1947 Sb.;NA;"5. zaměstnanci uvedení v § 4 zák. č. 16/1947 Sb. mohou žádati o příděl, při čemž mají přednostní právo jako skupiny osob uvedené v § 8, odst. 4;";norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
203298;142/1947 Sb.;16/1947 Sb.;NA;"6. podle § 5 zák. č. 16/1947 Sb. přiznají nositelé veřejnoprávního pojištění starobní nebo invalidní důchod počínajíc dnem, kterým se v důsledku provádění revise skončil pracovní poměr zaměstnance na majetku převzatém nebo vyvlastněném;";norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
203299;142/1947 Sb.;16/1947 Sb.;NA;"7. místo dne 23. června 1945 a počátečního dne účinnosti zákona č. 16/1947 Sb., o nichž se mluví v § 6 zák. č. 16/1947 Sb., nastupuje počáteční den účinnosti tohoto zákona;";norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
203300;142/1947 Sb.;16/1947 Sb.;NA;"8. žádosti podle § 8 zák. č. 16/1947 Sb. jest podati do 60 dnů ode dne, kterým bude majetek převzat nebo vyvlastněn;";norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
203301;142/1947 Sb.;16/1947 Sb.;NA;"9. ustanovení § 8, odst. 2 zák. č. 16/1947 Sb., pokud se vztahuje na nároky z dřívějšího pracovního (služebního) poměru, tu neplatí;";norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
203302;142/1947 Sb.;16/1947 Sb.;NA;10. pro Slovensko platí, pokud jde o §§ 9 a 11 zák. č. 16/1947 Sb., místo ustanovení dekretu č. 12/1945 Sb. a dekretu presidenta republiky ze dne 20. července 1945, č. 28 Sb., o osídlení zemědělské půdy Němců, Maďarů a jiných nepřátel státu českými, slovenskými a jinými slovanskými zemědělci, obdobná ustanovení nařízení Slovenské národní rady ze dne 23. srpna 1945, č. 104 Sb. n. SNR, o konfiskaci a urychleném rozdělení zemědělského majetku Němců, Maďarů, jakož i zrádců a nepřátel slovenského národa, ve znění nařízení Slovenské národní rady ze dne 14. května 1946, č. 64 Sb. n. SNR.;norms;Zákon o umístění a jiném zaopatření zaměstnanců na zkonfiskovaném zemědělském majetku a jejich rodinných příslušníků
