akt.citace;kategorie;akt.název.vyhlášený;status;komentář
331/1993 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 1994 a o změně a doplnění některých zákonů;platný;"Jedná se o rozpočtový zákon, který navíc novelizuje řadu dalších zákonů stanovících platy některých veřejných funkcionářů, z nichž některé jsou platné (např. z. č. 182/1993 Sb. či z. č. 166/1993 Sb.); předpis nebyl zrušen jako celek, nebyl ani nahrazen pozdější právní úpravou a je tedy platnou součástí právního řádu."
491/2000 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2001;platný;"Analyzovaný předpis stanoví státní rozpočet pro rok 2001, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně 
a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení 
a možnosti jeho obnovy, je třeba nahlížet na předpis jako na platný."
58/2000 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2000;platný;"Analyzovaný předpis stanoví státní rozpočet pro rok 2000, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení 
a možnosti jeho obnovy, je třeba nahlížet na předpis jako na platný."
490/2001 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2002;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2002, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení a možnosti jeho obnovy, je třeba nahlížet na předpis jako na platný.
154/2002 Sb.;financování státu;Zákon o přechodném financování některých sociálně zdravotních dávek horníků;platný;"Analyzovaný předpis nebyl zrušen ani nahrazen pozdější právní úpravou. 
Jedná se o stále platný a účinný právní předpis působící nadále na právní vztahy, jak dokládá také pokyn MPO č.j.: MPO 566415/20/31100 ze dne 11. září 2020 dostupný zde: https://mpo.cz/cz/prumysl/prumysl-a-zivotni-prostredi/zahlazovani-nasledku-hornicke-cinnosti/zabezpeceni-vyplaty-mandatornich-davek--89432/."
579/2002 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2003;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2003, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení, je třeba nahlížet na předpis jako na platný.
427/2003 Sb.;financování státu;Zákon, kterým se pro léta 2004, 2005 a 2006 stanoví mimořádné opatření při určování výše platu a některých náhrad výdajů spojených s výkonem funkce představitelů státní moci a některých státních orgánů, soudců a státních zástupců, výše dalších platů těchto osob za první a druhé pololetí let 2004, 2005 a 2006, a kterým se mění některé související zákony;platný;V části první posuzovaný předpis již pozbyl účelu, neboť obsahuje právní úpravu výše platové základny pro rok 2004 a výše dalšího platu za první pololetí roku 2004. V části druhé a třetí posuzovaný předpis novelizuje platné a účinné předpisy, proto i posuzovaný zákon je stále platným a účinným právním předpisem.
457/2003 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2004;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2004, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení a možnosti jeho obnovy, je třeba nahlížet na předpis jako na platný.
675/2004 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2005;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2005, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení a možnosti jeho obnovy, je třeba nahlížet na předpis jako na platný.
378/2005 Sb.;financování státu;Zákon o podpoře výstavby družstevních bytů ze Státního fondu rozvoje bydlení, a o změně zákona č. 190/2004 Sb., o dluhopisech, (zákon o podpoře výstavby družstevních bytů);platný;Posuzovaný předpis nebyl zrušen ani nahrazen ve smyslu lex posterior, vyvolává účinky na právní vztahy. Je tedy platnou a účinnou součástí českého právního řádu.
543/2005 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2006;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2006, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení a možnosti jeho obnovy, je třeba nahlížet na předpis jako na platný.
203/2006 Sb.;financování státu;Zákon o některých druzích podpory kultury a o změně některých souvisejících zákonů;platný;Předpis nebyl zrušen ani nahrazen pozdější právní úpravou a je platnou součástí právního řádu účinkující na právní vztahy.
319/2006 Sb.;financování státu;Zákon o některých opatřeních ke zprůhlednění finančních vztahů v oblasti veřejné podpory, a o změně zákona č. 235/2004 Sb., o dani z přidané hodnoty, ve znění pozdějších předpisů;platný;Předpis nebyl zrušen, neexistuje v této oblasti ani lex posterior. Jedná se tedy o stále platnou součást právního řádu účinkující na právní vztahy.
572/2006 Sb.;financování státu;Zákon o přijetí úvěru Českou republikou od Evropské investiční banky na financování protipovodňových opatření;platný;Zákonem bylo umožněno přijetí úvěru Českou republikou, přičemž úvěr se měl vztahovat na financování potřeb souvisejících s prováděním programů Podpora prevence před povodněmi II a Podpora obnovy, odbahnění a rekonstrukce rybníků a výstavby vodních nádrží, evidovaných v Informačním systému financování reprodukce majetku podle zvláštního právního předpisu (§ 12 a 13 zák. č. 218/2000 Sb.), a to do výše 9 000 000 000 Kč. Dle informací ze stránek Ministerstva financí (https://www.mfcr.cz/cs/zahranicni-sektor/mezinarodni-spoluprace/mezinarodni-instituce/eib-evropska-investicni-banka-11649) bylo právo přijmout úvěr realizováno podpisem smlouvy o úvěru dne 11.12.2006. Ačkoliv byla maximální výše úvěru stanovena na 9 000 000 000 Kč, bylo původně přijato pouze 8 936 000 000 Kč. S ohledem na to, že úvěr ještě nebyl České republice v maximální možné výši poskytnut a z otevřených zdrojů nelze zjistit podmínky, za kterých byla smlouva o úvěru podepsána, ani maximální počet tranší, ve kterých může být úvěr čerpán, je analyzovaný předpis třeba vyhodnotit jako platný.
622/2006 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2007;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2007, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení a možnosti jeho obnovy, je třeba nahlížet na předpis jako na platný.
360/2007 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2008;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2008, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení a možnosti jeho obnovy, je třeba nahlížet na předpis jako na platný.
475/2008 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2009;platný;Posuzovaný předpis stanoví státní rozpočet České republiky pro rok 2009. S ohledem na skutečnost, že nadále může působit na právní vztahy (zejména v případech porušení rozpočtové kázně), je třeba na posuzovaný předpis hledět jako na platný a účinný.
487/2009 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2010;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2010, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení a možnosti jeho obnovy, je třeba nahlížet na předpis jako na platný.
433/2010 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2011;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2010, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, může mít právní předpis i nadále účinky na právní vztahy.
455/2011 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2012;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2012, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, a s přihlédnutím k možné délce řízení a možnosti jeho obnovy, je třeba nahlížet na předpis jako na platný.
504/2012 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2013;platný;"Analyzovaný předpis stanoví státní rozpočet pro rok 2013, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně 
a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, může mít analyzovaný právní předpis stále účinky na právní vztahy."
475/2013 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2014 a o změně zákona č. 504/2012 Sb., o státním rozpočtu České republiky na rok 2013, ve znění zákona č. 258/2013 Sb.;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2014, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, je třeba nahlížet na předpis jako na platný.
345/2014 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2015;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2015, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, je třeba nahlížet na předpis jako na platný.
400/2015 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2016;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2004, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, je třeba nahlížet na předpis jako na platný.
187/2016 Sb.;financování státu;Zákon o dani z hazardních her;platný;Posuzovaný právní předpis nebyl zrušen ani nahrazen pozdější právní úpravou, je platnou součástí právního řádu působící na právní vztahy.
457/2016 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2017;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2017, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, je třeba nahlížet na předpis jako na platný.
474/2017 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2018;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2018, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, je třeba nahlížet na předpis jako na platný.
336/2018 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2019;platný;Analyzovaný předpis stanoví státní rozpočet pro rok 2019, přičemž ve svých přílohách mj. upravuje pravidla pro poskytování finančních prostředků, jejichž porušení je porušením rozpočtové kázně. S ohledem na to, že dle z. č. 218/2000 Sb., § 44a odst. 11, lze odvod za porušení rozpočtové kázně a penále vyměřit do 10 let od 1. ledna roku následujícího po roce, v němž došlo k porušení rozpočtové kázně, je třeba nahlížet na předpis jako na platný.
214/2022 Sb.;milostivé léto;Zákon o zvláštních důvodech pro zastavení exekuce a o změně souvisejících zákonů;NA;NA
181/2023 Sb.;milostivé léto;Zákon o mimořádném odpuštění penále z pojistného na sociální zabezpečení a příspěvku na státní politiku zaměstnanosti a exekučních nákladů;NA;NA
182/2023 Sb.;milostivé léto;Zákon o mimořádném odpuštění a zániku některých daňových dluhů;NA;NA
469/2020 Sb.;ostatní;Zákon o jednorázovém příspěvku důchodci v roce 2020 a o změně zákona č. 155/1995 Sb., o důchodovém pojištění, ve znění pozdějších předpisů;NA;NA
221/2021 Sb.;ostatní;Zákon o podpoře zahrádkářské činnosti (zahrádkářský zákon);NA;NA
196/2022 Sb.;ostatní;Zákon o jednorázovém příspěvku na dítě;NA;NA
1/2023 Sb.;ostatní;Zákon o omezujících opatřeních proti některým závažným jednáním uplatňovaných v mezinárodních vztazích (sankční zákon);NA;NA
296/2009 Sb.;ostatní;Zákon o sčítání lidu, domů a bytů v roce 2011;obsoletní;Posuzovaný předpis upravuje přípravu a provedení sčítání lidu, domů a bytů v roce 2011, které již bylo ukončeno a jehož výsledky byly již veřejně publikovány. Lhůta pro skartaci písemných formulářů a anonymizaci elektronických formulářů již rovněž uplynula. Posuzovaný předpis již na právní vztahy nepůsobí a je obsoletní.
61/1956 Sb.;ostatní;Zákonné opatření o těžbě rašelin;platný;Na základě povolení vydaných podle tohoto předpisu stále probíhá těžba rašelin, předpis je proto nutné ponechat jako platný.
297/1991 Sb.;ostatní;Zákon o úpravě náhrady za ztrátu na výdělku po skončení pracovní neschopnosti vzniklé pracovním úrazem nebo nemocí z povolání;platný;"Předpis stanovil v návaznosti na zákoník práce (z. č. 65/1965 Sb. v tehdejším znění) úpravu náhrady za ztrátu na výdělku; předpis nebyl zrušen ani nahrazen lex posterior, neboť pozdější právní úprava navazuje úpravou náhrady za další časové období a dle přechodných ustanovení z. č. 262/2006 Sb., zákoník práce (§ 364 odst. 4), se řídí dosavadními předpisy a zároveň se jak dle z. č. 65/1965 Sb. (§ 261 odst. 2), tak z. č. 262/2006 Sb. (§ 271t) se práva na náhradu za ztrátu na výdělku nepromlčují. S ohledem na to, že se náhrady vyplácejí až do 65 let (resp. do přiznání starobního důchodu - viz § 195 z. č. 65/1965 Sb. odst. 5 ve znění platném v době přijetí analyzovaného předpisu a § 271b odst. 6 z. č. 262/2006 Sb.), stále mohou existovat právní vztahy, na něž se tento předpis aplikuje."
14/1993 Sb.;ostatní;Zákon České národní rady o opatřeních na ochranu průmyslového vlastnictví;platný;Předpis zřídil Úřad průmyslového vlastnictví (což je stále existující subjekt), a stanovil jeho pravomoci. Předpis je tedy stále platnou a účinnou součástí právního řádu působící na právní vztahy, dosud nebyl zrušen ani nahrazen pozdější právní úpravou.
309/2000 Sb.;ostatní;Zákon o obranné standardizaci, katalogizaci a státním ověřování jakosti výrobků a služeb určených k zajištění obrany státu a o změně živnostenského zákona;platný;Předpis nebyl zrušen, neexistuje lex posterior, navíc předpis novelizuje platný a účinný z. č. 455/1991 Sb. Jedná se tedy o platný a účinný právní předpis.
219/2002 Sb.;ostatní;Zákon, kterým se provádějí změny v soustavě ústředních orgánů státní správy České republiky a mění se zákon č. 2/1969 Sb., o zřízení ministerstev a jiných ústředních orgánů státní správy České republiky, ve znění pozdějších předpisů;platný;Posuzovaný předpis novelizuje doposud platný a účinný zákon č. 2/1969 Sb., proto i analyzovaný předpis je platnou součástí českého právního řádu.
279/2003 Sb.;ostatní;Zákon o výkonu zajištění majetku a věcí v trestním řízení a o změně některých zákonů;platný;předpis nebyl zrušen ani nahrazen lex posterior, je platný a působí na právní vztahy
166/2004 Sb.;ostatní;Zákon o převodu některého majetku, se kterým je příslušný hospodařit Česká správa letišť, státní podnik, z vlastnictví České republiky do vlastnictví některých krajů;platný;Předmětem úpravy posuzovaného zákona je převod některého majetku, se kterým je příslušný hospodařit státní podnik Česká správa letišť z vlastnictví České republiky do vlastnictví některých krajů. Zákon je stále platný a účinný neboť v § 4 odst. 2 stanoví kraji časově neomezenou povinnost zachovat si v případě převodu vlastnictví k letišti spoluvlastnický podíl v rozsahu nejméně 51 % na majetku tvořícím letiště.
247/2006 Sb.;ostatní;Zákon o omezení provozu zastaváren a některých jiných provozoven v noční době;platný;Předpis nebyl zrušen, neexistuje v této oblasti ani lex posterior. Jedná se tedy o stále platnou součást právního řádu účinkující na právní vztahy.
108/2009 Sb.;ostatní;Zákon o jednorázové peněžní částce nahrazující příplatek k důchodu a zvláštní příspěvek k důchodu a o změně některých zákonů;platný;Posuzovaný předpis upravuje primárně jednorázovou peněžní částku nahrazující příplatek k důchodu nebo zvláštní příspěvek k důchodu, která se uplatní v případě, kdy se osoba účastnila odboje, nebo byla obětí perzekuce, ale nepobírá důchod a nemůže tak získat příplatek k důchodu či zvláštní příspěvek k dúchodu. Lhůta pro podání žádosti podle posuzovaného předpisu není stanovena, nicméně lze předpokládat, že většina oprávněných osob svůj nárok již uplatnila. Posuzovaný předpis dále novelizuje tři platné a účinné zákony. Ze shora uvedených důvodů je posuzovaný předpis platný a účinný.
69/2010 Sb.;ostatní;Zákon o vlastnictví letiště Praha-Ruzyně;platný;Posuzovaný právní předpis nebyl zrušen ani nahrazen ve smyslu lex posterior, je platnou součástí českého právního řádu účinkující na právní vztahy.
223/2016 Sb.;ostatní;Zákon o prodejní době v maloobchodě a velkoobchodě;platný;Posuzovaný právní předpis nebyl zrušen ani nahrazen pozdější právní úpravou, je platnou součástí právního řádu působící na právní vztahy.
300/2017 Sb.;ostatní;Zákon o zásadách jednání a styku Poslanecké sněmovny a Senátu mezi sebou a navenek a o změně zákona č. 90/1995 Sb., o jednacím řádu Poslanecké sněmovny, ve znění pozdějších předpisů, (stykový zákon);platný;Posuzovaný právní předpis nebyl zrušen ani nahrazen pozdější právní úpravou, vyvolává účinky na právní vztahy.
133/2020 Sb.;pandemie COVID;Zákon o některých úpravách v sociálním zabezpečení v souvislosti s mimořádnými opatřeními při epidemii v roce 2020;NA;NA
135/2020 Sb.;pandemie COVID;Zákon o zvláštních pravidlech pro přijímání k některým druhům vzdělávání a k jejich ukončování ve školním roce 2019/2020;NA;NA
136/2020 Sb.;pandemie COVID;Zákon o některých úpravách v oblasti pojistného na sociální zabezpečení a příspěvku na státní politiku zaměstnanosti a důchodového pojištění v souvislosti s mimořádnými opatřeními při epidemii v roce 2020;NA;NA
159/2020 Sb.;pandemie COVID;Zákon o kompenzačním bonusu v souvislosti s krizovými opatřeními v souvislosti s výskytem koronaviru SARS CoV-2;NA;NA
160/2020 Sb.;pandemie COVID;Zákon o některých úpravách v oblasti dávek státní sociální podpory a příspěvku na péči v souvislosti s nouzovým stavem při epidemii v roce 2020;NA;NA
161/2020 Sb.;pandemie COVID;Zákon o některých úpravách v oblasti zaměstnanosti v souvislosti s mimořádnými opatřeními při epidemii a o změně zákona č. 435/2004 Sb., o zaměstnanosti, ve znění pozdějších předpisů;NA;NA
177/2020 Sb.;pandemie COVID;Zákon o některých opatřeních v oblasti splácení úvěrů v souvislosti s pandemií COVID-19;NA;NA
185/2020 Sb.;pandemie COVID;Zákon o některých opatřeních ke zmírnění dopadů epidemie koronaviru označovaného jako SARS CoV-2 na odvětví cestovního ruchu;NA;NA
187/2020 Sb.;pandemie COVID;Zákon o prodloužení lhůt pro konání doplňovacích voleb do Senátu;NA;NA
188/2020 Sb.;pandemie COVID;Zákon o zvláštních pravidlech pro vzdělávání a rozhodování na vysokých školách v roce 2020 a o posuzování doby studia pro účely dalších zákonů;NA;NA
209/2020 Sb.;pandemie COVID;Zákon o některých opatřeních ke zmírnění dopadů epidemie koronaviru SARS CoV-2 na nájemce prostor sloužících k uspokojování bytové potřeby, na příjemce úvěru poskytnutého Státním fondem rozvoje bydlení a v souvislosti s poskytováním plnění spojených s užíváním bytů a nebytových prostorů v domě s byty;NA;NA
210/2020 Sb.;pandemie COVID;Zákon o některých opatřeních ke zmírnění dopadů epidemie koronaviru SARS CoV-2 na nájemce prostor sloužících podnikání;NA;NA
228/2020 Sb.;pandemie COVID;Zákon o poskytnutí státní záruky České republiky na zajištění dluhů Českomoravské záruční a rozvojové banky, a. s., vyplývajících z ručení za dluhy z úvěrů v souvislosti se zmírněním negativních dopadů způsobených virem SARS CoV-2;NA;NA
243/2020 Sb.;pandemie COVID;Zákon o pravomoci Policie České republiky a obecní policie postihovat porušení krizových opatření a mimořádných opatření nařízených v souvislosti s prokázáním výskytu koronaviru SARS CoV-2 na území České republiky;NA;NA
247/2020 Sb.;pandemie COVID;Zákon o některých opatřeních ke zmírnění dopadů epidemie koronaviru označovaného jako SARS CoV-2 na oblast kulturních akcí;NA;NA
248/2020 Sb.;pandemie COVID;Zákon o některých opatřeních ke zmírnění dopadů epidemie koronaviru SARS CoV-2 v oblasti ochrany zaměstnanců při platební neschopnosti zaměstnavatele;NA;NA
249/2020 Sb.;pandemie COVID;Zákon o některých opatřeních ke zmírnění dopadů epidemie koronaviru označovaného jako SARS CoV-2 v oblasti sportu;NA;NA
255/2020 Sb.;pandemie COVID;Zákon o snížení penále z pojistného na sociální zabezpečení a příspěvku na státní politiku zaměstnanosti placeného zaměstnavateli jako poplatníky v souvislosti s mimořádnými opatřeními při epidemii v roce 2020 a o změně některých zákonů;NA;NA
